0,0; 0;0;0
1,0; 0;0;0
2,0; 0;0;0
3,0; 744;7;21,88235294117647
4,0; 599;4;23,03846153846154
5,0; 707;7;22,09375
6,0; 816;9;21,473684210526315
7,0; 749;7;21,4
8,0; 769;9;20,783783783783782
9,0; 0;0;0
10,0; 0;0;0
11,0; 3;0;3,0
12,0; 696;7;21,75
13,0; 747;6;21,34285714285714
14,0; 626;4;22,357142857142858
15,0; 769;9;20,783783783783782
16,0; 757;7;21,02777777777778
17,0; 2715;21;2715,0
18,0; 2715;21;2715,0
19,0; 18;0;9,0
20,0; 18;0;9,0
21,0; 2715;21;2715,0
22,0; 2691;22;672,75
23,0; 2578;22;859,3333333333334
24,0; 2715;21;2715,0
25,0; 2715;21;2715,0
26,0; 2715;21;2715,0
27,0; 18;0;9,0
28,0; 18;0;9,0
29,0; 117;0;6,5
30,0; 2705;20;1352,5
31,0; 2715;21;2715,0
32,0; 2715;21;2715,0
33,0; 2715;21;2715,0
34,0; 2715;21;2715,0
35,0; 2715;21;2715,0
36,0; 2715;21;2715,0
37,0; 2699;20;899,6666666666666
38,0; 2715;21;2715,0
39,0; 2715;21;2715,0
40,0; 2715;21;2715,0
41,0; 2715;21;2715,0
42,0; 164;0;5,857142857142857
43,0; 18;0;9,0
44,0; 18;0;9,0
45,0; 2691;20;897,0
46,0; 2715;21;2715,0
47,0; 2715;21;2715,0
48,0; 2715;21;2715,0
49,0; 2715;21;2715,0
50,0; 2715;21;2715,0
51,0; 296;2;7,7894736842105265
52,0; 18;0;9,0
53,0; 18;0;9,0
54,0; 694;6;21,6875
55,0; 717;6;21,727272727272727
56,0; 2715;21;2715,0
57,0; 816;9;21,473684210526315
58,0; 769;9;20,783783783783782
59,0; 757;7;21,02777777777778
60,0; 7;0;3,5
61,0; 0;0;0
62,0; 0;0;0
63,0; 713;7;21,606060606060606
64,0; 494;4;24,7
65,0; 733;6;22,21212121212121
66,0; 816;9;21,473684210526315
67,0; 757;7;21,02777777777778
68,0; 769;9;20,783783783783782
69,0; 16;0;2,2857142857142856
70,0; 18;0;9,0
71,0; 0;0;0
